fixed_interval,scenario,seed,requested_total_cycles,addr_width,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,control_delay_points,safe_interval,fixed_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
1300,upsets,8,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1300.csv,0,1300,1300,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,384,98304,468,468,2427,10,0,0,0,394068,98772,788,197,0
1300,upsets,9,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1300.csv,0,1300,1300,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,384,98304,466,466,1987,10,0,0,0,394066,98770,788,197,0
1300,upsets,10,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1300.csv,0,1300,1300,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,384,98304,471,471,1684,8,0,0,0,394071,98775,788,197,0
1400,upsets,1,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1400.csv,0,1400,1400,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,356,91275,461,461,2188,9,0,0,0,365917,91736,731,183,0
1400,upsets,2,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1400.csv,0,1400,1400,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,356,91275,468,468,2595,10,0,0,0,365924,91743,731,183,0
1400,upsets,3,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1400.csv,0,1400,1400,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,356,91275,452,452,2558,14,0,0,0,365908,91727,731,183,0
1400,upsets,4,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1400.csv,0,1400,1400,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,356,91275,462,462,2647,8,0,0,0,365918,91737,731,183,0
1400,upsets,5,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1400.csv,0,1400,1400,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,356,91275,464,464,2077,12,0,0,0,365919,91739,731,183,0
1400,upsets,6,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1400.csv,0,1400,1400,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,356,91275,461,461,3129,12,0,0,0,365917,91736,731,183,0
1400,upsets,7,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1400.csv,0,1400,1400,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,356,91275,476,476,1703,7,0,0,0,365932,91751,731,183,0
