scenario,seed,requested_total_cycles,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,control_delay_points,safe_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
upsets,4,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,409,6544,502,502,763,6,788,0,0,27087,7046,541,140,0
upsets,5,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,499,499,702,6,0,0,0,41579,10611,831,212,0
upsets,5,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,432,6912,486,486,640,8,1347,0,0,28566,7398,571,147,0
upsets,5,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,409,6544,474,474,610,8,788,0,0,27059,7018,541,140,0
upsets,6,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,503,503,1520,8,0,0,0,41583,10615,831,212,0
upsets,6,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,432,6912,497,497,718,8,1347,0,0,28577,7409,571,148,0
upsets,6,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,409,6544,475,475,1226,7,788,0,0,27060,7019,541,140,0
upsets,7,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,499,499,1361,0,0,0,0,41579,10611,831,212,0
upsets,7,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,432,6912,487,487,910,1,1347,0,0,28567,7399,571,147,0
upsets,7,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,409,6544,479,479,936,0,788,0,0,27064,7023,541,140,0
upsets,8,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,502,502,923,4,0,0,0,41582,10614,831,212,0
upsets,8,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,432,6912,484,484,789,3,1347,0,0,28564,7396,571,147,0
upsets,8,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,409,6544,481,481,702,3,788,0,0,27066,7025,541,140,0
