seed,fixed_interval,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,memory_busy_cycles,busy_percent
29,240,fixed,50000,208,3340,404,404,809,4,0,3744,7.400000
29,300,fixed,50000,167,2672,338,338,787,4,0,3010,6.000000
30,60,fixed,50000,748,11977,536,536,442,4,0,12513,25.000000
30,,table,50000,246,3936,413,413,810,3,1295,4349,8.600000
30,,threshold,50000,284,4544,445,445,615,4,776,4989,9.900000
30,70,fixed,50000,723,11576,527,527,579,4,0,12103,24.200000
30,80,fixed,50000,632,10112,524,524,529,4,0,10636,21.200000
30,100,fixed,50000,504,8065,490,490,670,4,0,8555,17.100000
30,120,fixed,50000,419,6709,489,489,650,5,0,7198,14.300000
30,150,fixed,50000,335,5360,456,456,547,5,0,5816,11.600000
30,200,fixed,50000,250,4013,372,372,1027,6,0,4385,8.700000
30,240,fixed,50000,208,3340,379,379,720,6,0,3719,7.400000
30,300,fixed,50000,167,2672,317,317,979,9,0,2989,5.900000
